Gene_symbol,Count,Proportion(%)
NAT8,158,0.0172
TTC29,158,0.0172
SMYD1,158,0.0172
RDH5,158,0.0172
RIOX1,157,0.0171
ALDH3A2,157,0.0171
AFM,157,0.0171
EIF2B2,157,0.0171
TMEM199,157,0.0171
SNRNP200,157,0.0171
MRPL38,157,0.0171
ABCA3,157,0.0171
TEKT3,157,0.0171
DECR1,157,0.0171
COX4I2,157,0.0171
IGLV3-10,157,0.0171
FLCN,157,0.0171
HPGD,157,0.0171
WNT16,157,0.0171
VPS45,157,0.0171
C1QTNF4,157,0.0171
FAM86B2,157,0.0171
CHMP4C,157,0.0171
ATP6V1E2,157,0.0171
TTC28,157,0.0171
DTWD2,156,0.017
AP1M2,156,0.017
FTCD,156,0.017
GMPR2,156,0.017
MTHFR,156,0.017
FICD,156,0.017
GART,156,0.017
PMS2,156,0.017
MICU3,156,0.017
IGHV1-24,156,0.017
TAT,156,0.017
LGALS4,156,0.017
HEBP1,156,0.017
CHMP1A,156,0.017
QRSL1,156,0.017
LIAS,156,0.017
GATD1,156,0.017
MUC6,156,0.017
NUDT7,155,0.0169
IGHV3-15,155,0.0169
CFAP52,155,0.0169
IZUMO4,155,0.0169
CHPF2,155,0.0169
ASPA,155,0.0169
PDE6A,155,0.0169
CCT8L2,155,0.0169
CASQ2,155,0.0169
PRODH,155,0.0169
RPE65,155,0.0169
KYAT1,155,0.0169
TUBB4A,155,0.0169
AZIN2,155,0.0169
TSC2,155,0.0169
SHC2,155,0.0169
IGKV1-12,154,0.0168
ASB10,154,0.0168
NDUFAF5,154,0.0168
IGHV6-1,154,0.0168
UTP6,154,0.0168
TNNT2,154,0.0168
PRAMEF4,154,0.0168
ATR,154,0.0168
PM20D2,154,0.0168
GAD1,154,0.0168
PNP,154,0.0168
NDUFA9,154,0.0168
MCCC1,154,0.0168
MRPL16,154,0.0168
EIF3F,154,0.0168
GAPDHS,153,0.0167
TARS1,153,0.0167
JMJD7,153,0.0167
IL34,153,0.0167
NDUFB9,153,0.0167
GINS3,153,0.0167
OXSM,153,0.0167
UPP1,153,0.0167
IFNA6,153,0.0167
AUH,153,0.0167
TEX47,153,0.0167
LIPA,153,0.0167
GPX4,152,0.0166
TRMT61A,152,0.0166
H3-4,152,0.0166
GPN2,152,0.0166
TPSB2,152,0.0166
TMED6,152,0.0166
SCRN2,152,0.0166
UQCC1,152,0.0166
DARS1,152,0.0166
GSTA5,152,0.0166
B4GALT7,152,0.0166
CRY2,152,0.0166
AARS1,152,0.0166
CYP2A7,152,0.0166
SKIC2,152,0.0166
ARSB,152,0.0166
ACAT2,151,0.0164
IFNL2,151,0.0164
ISG15,151,0.0164
ATP5PB,151,0.0164
CFAP161,151,0.0164
DNAI2,151,0.0164
S100A7A,151,0.0164
IGHV3-48,151,0.0164
P4HA2,151,0.0164
CAPN5,151,0.0164
MRPL23,151,0.0164
HAGH,151,0.0164
ATP5F1D,151,0.0164
GOT1,151,0.0164
CELA3B,150,0.0163
TRPM2,150,0.0163
STXBP2,150,0.0163
GLYCTK,150,0.0163
CDC14A,150,0.0163
BBS2,150,0.0163
GFER,150,0.0163
CMA1,150,0.0163
CHAT,150,0.0163
UEVLD,150,0.0163
SORD,150,0.0163
CELA3A,150,0.0163
CHEK2,150,0.0163
CKMT2,150,0.0163
NAGK,150,0.0163
NUBP2,149,0.0162
NAXE,149,0.0162
GPAA1,149,0.0162
C1QTNF12,149,0.0162
MICU2,149,0.0162
CYP2A13,149,0.0162
CABP2,149,0.0162
SCO2,149,0.0162
ATP6V1B1,149,0.0162
AARS2,149,0.0162
